exp,nights,budget,destino,pso_num_particles,pso_alpha,pso_beta,pso_gamma,pso_fitness,aco_num_ants,aco_evaporation,aco_alpha,aco_beta,aco_gamma,aco_fitness
15,6,953,Matanzas,11,0.8723649175124912,0.9208748222021527,1.2067602602853562,0.6426677208031406,17,0.15418143679949595,1.0861127946593647,0.9813123011316036,0.9325749042090319,0.3085270734261347
16,10,344,Cienfuegos,19,0.5826498359422732,1.1851654539371803,1.2321847101205463,0.41439209625287754,26,0.35034902302341786,1.1101359142809535,1.4306357700488754,0.4592283156701712,0.8505566405401266
17,8,994,Santa Maria,36,1.1782907141262076,1.096932132121171,0.7247771537526214,0.26811320921386617,35,0.1044676542391831,1.1711353053504572,1.009169379256356,0.8196953153931866,0.7244537768271521
18,10,761,Camagüey,20,0.7420230530137936,1.3828721019307684,0.8751048450554381,0.10468779110969811,23,0.6284404054814418,0.9521320111186272,0.6622687633299735,1.3855992255513994,0.30314015966303076
19,3,1430,Cienfuegos,21,0.981690925273726,1.1146771883908426,0.9036318863354311,0.4887006328665469,24,0.5895526868809972,1.3180604044256847,0.5123484020070376,1.1695911935672778,0.9510741188480811
20,7,346,Holguín,24,1.2964652157651797,0.8299486683186478,0.8735861159161724,0.3028808758020389,50,0.38622203706163866,1.1255505551289562,1.0601058692798762,0.8143435755911672,0.3845400563327064
21,6,1073,Santiago,50,0.6576765456280066,1.1289267471672346,1.213396707204759,0.5040097958202469,31,0.1116795227495786,0.8707112421198739,0.9006388586753037,1.2286498992048227,0.46751826468965074
22,4,1099,Holguín,39,0.9108881314925958,0.9180373571914577,1.1710745113159462,0.18830922772999778,47,0.4618756318356916,1.1900706384738806,0.5567388365487436,1.2531905249773758,0.7397408527732279
23,9,952,Varadero,40,0.6851953780392881,1.0412716728947804,1.2735329490659315,0.4301658700541452,41,0.5570953464991327,1.0629352567008121,0.8716373752622196,1.0654273680369681,0.27331862449008715
24,9,475,Varadero,44,1.1397570168860425,0.5736235524038809,1.286619430710077,0.16604928614835618,38,0.32598678070228304,1.5658034229309696,0.7814515116298605,0.6527450654391697,0.8114707765448851
25,3,880,Santa Maria,42,1.0095354801278498,0.9410012736829683,1.049463246189182,-0.21210378611620134,13,0.8069948648269359,1.1754791700239153,1.1460615028512235,0.6784593271248609,0.6640184125753095
26,8,738,Holguín,45,0.9371519652631433,1.2322675686244102,0.8305804661124466,-0.15299586305117863,44,0.34690634365241924,1.3789647464594355,0.8145787180202976,0.8064565355202671,0.7108201420723423
27,7,1459,Holguín,37,0.948602930742151,0.5735378665809424,1.4778592026769066,0.39773711856200294,49,0.12477651358057985,1.3222139528046712,1.0642413804228956,0.613544666772433,0.3780061124542905
28,9,220,Ciego de Ávila,28,0.772585824505012,0.9247731442154336,1.3026410312795542,0.4001939543511462,26,0.41334537336706945,0.6608060078737149,1.2491876393184045,1.090006352807881,0.3608810044359227
29,8,1235,Santa Maria,50,0.9414809574924912,0.9661136047851986,1.0924054377223105,0.06161487394038284,36,0.2256107659508816,1.4195610553624258,0.715430598074692,0.865008346562882,1.2668574358284028
30,8,1396,Camagüey,24,1.4674762621314543,0.5251920614097942,1.0073316764587512,1.1166954400983138,26,0.6989107744749907,0.4887086215923392,1.439819302192218,1.0714720762154424,-0.7885656363665663
31,3,615,Santa Maria,21,1.008018033778041,0.8950918525242227,1.0968901136977365,0.3126154385940641,28,0.3001133320515207,0.7146851891406786,1.34996001548358,0.9353547953757414,-0.4149884639836562
