name,stars,address,cadena,tarifa,price,hotel_url,destino
TRYP Cayo Coco,4,Jardines Del Rey Moron Ciego De Avila,Meliá,All inclusive,"USD76,03",,Ciego de Ávila
Meliá Jardines del Rey,5,"Highway to Cayo Guillermo km 9, Flamenco Beach, Cayo Coco Ciego De Avila",Meliá,All inclusive,"USD105,70",,Ciego de Ávila
Meliá Cayo Coco,0,Jardines del Rey Ciego De Avila,Meliá,All inclusive,"USD146,43",,Ciego de Ávila
Hotel Sitio La Güira,2,"Cayo Coco, Cuba Sitio La Guira Ciego De Avila",Islazul,,No disponible,,Ciego de Ávila
Hotel Morón,2,"Avenida de Tarafa, Morón, Ciego de Ávila Ciego De Avila",Islazul,,No disponible,,Ciego de Ávila
Hotel San Fernando,2,"Avenida de Tarafa, Morón, Ciego de Ávila, Cuba Ciego De Avila",Islazul,,No disponible,,Ciego de Ávila
Villa Punta Rasa,2,Cayo Guillermo Ciego De Avila,Islazul,,No disponible,,Ciego de Ávila
Pullman Cayo Coco,5,Avenida de los Hoteles. Playa las Coloradas. Jardines del Rey. Cayo Coco Ciego De Avila,ACCOR,,No disponible,,Ciego de Ávila
Iberostar Daiquiri,4,"Cayo Guillermo, Jardines del Rey. Morón, Ciego de Ávila. Cuba Ciego De Avila",Iberostar,,No disponible,,Ciego de Ávila
Iberostar Playa Pilar,5,"Carretera a playa Pilar km 55, Cayo Guillermo. Ciego De Avila",Iberostar,,No disponible,,Ciego de Ávila
Brisas del Caribe,4,"CR Carretera Las Morlas km 12, 5 Varadero",Cubanacan,Todo Incluido,"USD38,64",,Matanzas
Dos Mares,2,"CL Calle 53 y Avenida 1ra, Varadero, Cárdenas, S/N Varadero",Islazul,Alojamiento y desayuno,"USD43,00",,Matanzas
E Velasco,4,"CL Contreras y Parque de la Libertad, S/N Matanzas",Cubanacan,Alojamiento y desayuno,"USD44,00",,Matanzas
E Louvre,4,"CL Milanés entre Ayuntamiento y Santa Teresa., S/N Matanzas",Cubanacan,Alojamiento y desayuno,"USD44,00",,Matanzas
Playa Girón,2,"LG Playa Girón, S/N CIENEGA DE ZAPATA",Cubanacan,CP,"USD44,74",,Matanzas
